;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Tackle;1;False;;;False;False;;Bulbasaur
1;Growl;3;False;;;False;False;;Bulbasaur
2;Vine Whip;7;False;;;False;False;;Bulbasaur
3;Vine Whip;9;False;;;False;False;;Bulbasaur
4;Poison Powder;13;False;;;False;False;;Bulbasaur
5;Sleep Powder;13;False;;;False;False;;Bulbasaur
6;Take Down;15;False;;;False;False;;Bulbasaur
7;Razor Leaf;19;False;;;False;False;;Bulbasaur
8;Sweet Scent;21;False;;;False;False;;Bulbasaur
9;Growth;25;False;;;False;False;;Bulbasaur
10;Double-Edge;27;False;;;False;False;;Bulbasaur
11;Worry Seed;31;False;;;False;False;;Bulbasaur
12;Synthesis;33;False;;;False;False;;Bulbasaur
13;Seed Bomb;37;False;;;False;False;;Bulbasaur
14;Work Up;;False;;01;False;False;;Bulbasaur
15;Toxic;;False;;06;False;False;;Bulbasaur
16;Venoshock;;False;;09;False;False;;Bulbasaur
17;Hidden Power;;False;;10;False;False;;Bulbasaur
18;Sunny Day;;False;;11;False;False;;Bulbasaur
19;Light Screen;;False;;16;False;False;;Bulbasaur
20;Protect;;False;;17;False;False;;Bulbasaur
21;Safeguard;;False;;20;False;False;;Bulbasaur
22;Frustration;;False;;21;False;False;;Bulbasaur
23;Solar Beam;;False;;22;False;False;;Bulbasaur
24;Return;;False;;27;False;False;;Bulbasaur
25;Double Team;;False;;32;False;False;;Bulbasaur
26;Sludge Bomb;;False;;36;False;False;;Bulbasaur
27;Facade;;False;;42;False;False;;Bulbasaur
28;Rest;;False;;44;False;False;;Bulbasaur
29;Attract;;False;;45;False;False;;Bulbasaur
30;Round;;False;;48;False;False;;Bulbasaur
31;Echoed Voice;;False;;49;False;False;;Bulbasaur
32;Energy Ball;;False;;53;False;False;;Bulbasaur
33;Swords Dance;;False;;75;False;False;;Bulbasaur
34;Grass Knot;;False;;86;False;False;;Bulbasaur
35;Swagger;;False;;87;False;False;;Bulbasaur
36;Sleep Talk;;False;;88;False;False;;Bulbasaur
37;Substitute;;False;;90;False;False;;Bulbasaur
38;Nature Power;;False;;96;True;False;;Bulbasaur
39;Confide;;False;;100;False;False;;Bulbasaur
40;Amnesia;;False;;;True;False;;Bulbasaur
41;Charm;;False;;;True;False;;Bulbasaur
42;Curse;;False;;;True;False;;Bulbasaur
43;Endure;;False;;;True;False;;Bulbasaur
44;Giga Drain;;False;;;True;False;;Bulbasaur
45;Grass Whistle;;False;;;True;False;;Bulbasaur
46;Grassy Terrain;;False;;;True;False;;Bulbasaur
47;Ingrain;;False;;;True;False;;Bulbasaur
48;Leaf Storm;;False;;;True;False;;Bulbasaur
49;Magical Leaf;;False;;;True;False;;Bulbasaur
50;Petal Dance;;False;;;True;False;;Bulbasaur
51;Power Whip;;False;;;True;False;;Bulbasaur
52;Skull Bash;;False;;;True;False;;Bulbasaur
53;Sludge;;False;;;True;False;;Bulbasaur
54;Grass Pledge;;False;;;False;True;;Bulbasaur
55;Growl;1;False;;;False;False;;Venusaur
56;Growl;3;False;;;False;False;;Venusaur
57;Leech Seed;1;False;;;False;False;;Venusaur
