;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Growl;1;False;;;False;False;;Ivysaur
1;Growl;3;False;;;False;False;;Ivysaur
2;Leech Seed;1;False;;;False;False;;Ivysaur
3;Leech Seed;7;False;;;False;False;;Ivysaur
4;Tackle;1;False;;;False;False;;Ivysaur
5;Vine Whip;9;False;;;False;False;;Ivysaur
6;Poison Powder;13;False;;;False;False;;Ivysaur
7;Sleep Powder;13;False;;;False;False;;Ivysaur
8;Take Down;15;False;;;False;False;;Ivysaur
9;Razor Leaf;20;False;;;False;False;;Ivysaur
10;Sweet Scent;23;False;;;False;False;;Ivysaur
11;Growth;28;False;;;False;False;;Ivysaur
12;Double-Edge;31;False;;;False;False;;Ivysaur
13;Worry Seed;36;False;;;False;False;;Ivysaur
14;Synthesis;39;False;;;False;False;;Ivysaur
15;Solar Beam;44;False;;22;False;False;;Ivysaur
16;Seed Bomb;;True;;;False;False;;Ivysaur
17;Cut;;False;01;;False;False;;Ivysaur
18;Strength;;False;04;;False;False;;Ivysaur
19;Toxic;;False;;06;False;False;;Ivysaur
20;Venoshock;;False;;09;False;False;;Ivysaur
21;Hidden Power;;False;;10;False;False;;Ivysaur
22;Sunny Day;;False;;11;False;False;;Ivysaur
23;Light Screen;;False;;16;False;False;;Ivysaur
24;Protect;;False;;17;False;False;;Ivysaur
25;Safeguard;;False;;20;False;False;;Ivysaur
26;Frustration;;False;;21;False;False;;Ivysaur
27;Return;;False;;27;False;False;;Ivysaur
28;Double Team;;False;;32;False;False;;Ivysaur
29;Sludge Bomb;;False;;36;False;False;;Ivysaur
30;Facade;;False;;42;False;False;;Ivysaur
31;Rest;;False;;44;False;False;;Ivysaur
32;Attract;;False;;45;False;False;;Ivysaur
33;Round;;False;;48;False;False;;Ivysaur
34;Echoed Voice;;False;;49;False;False;;Ivysaur
35;Energy Ball;;False;;53;False;False;;Ivysaur
36;Flash;;False;;70;False;False;;Ivysaur
37;Swords Dance;;False;;75;False;False;;Ivysaur
38;Grass Knot;;False;;86;False;False;;Ivysaur
39;Swagger;;False;;87;False;False;;Ivysaur
40;Sleep Talk;;False;;88;False;False;;Ivysaur
41;Substitute;;False;;90;False;False;;Ivysaur
42;Rock Smash;;False;;94;False;False;;Ivysaur
43;Nature Power;;False;;96;True;False;;Ivysaur
44;Confide;;False;;100;False;False;;Ivysaur
45;Amnesia;;False;;;True;False;;Ivysaur
46;Charm;;False;;;True;False;;Ivysaur
47;Curse;;False;;;True;False;;Ivysaur
48;Endure;;False;;;True;False;;Ivysaur
49;Giga Drain;;False;;;True;False;;Ivysaur
50;Grass Whistle;;False;;;True;False;;Ivysaur
51;Grassy Terrain;;False;;;True;False;;Ivysaur
52;Ingrain;;False;;;True;False;;Ivysaur
53;Leaf Storm;;False;;;True;False;;Ivysaur
