;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Growl;1;False;;;False;False;;Bulbasaur
1;Tackle;1;False;;;False;False;;Bulbasaur
2;Leech Seed;7;False;;;False;False;;Bulbasaur
3;Vine Whip;13;False;;;False;False;;Bulbasaur
4;PoisonPowder;20;False;;;False;False;;Bulbasaur
5;Razor Leaf;27;False;;;False;False;;Bulbasaur
6;Growth;34;False;;;False;False;;Bulbasaur
7;Sleep Powder;41;False;;;False;False;;Bulbasaur
8;SolarBeam;48;False;;22;False;False;;Bulbasaur
9;Cut;;False;01;;False;False;;Bulbasaur
10;Swords Dance;;False;;03;False;False;;Bulbasaur
11;Toxic;;False;;06;False;False;;Bulbasaur
12;Body Slam;;False;;08;False;False;;Bulbasaur
13;Take Down;;False;;09;False;False;;Bulbasaur
14;Double-Edge;;False;;10;False;False;;Bulbasaur
15;Rage;;False;;20;False;False;;Bulbasaur
16;Mega Drain;;False;;21;False;False;;Bulbasaur
17;Mimic;;False;;31;False;False;;Bulbasaur
18;Double Team;;False;;32;False;False;;Bulbasaur
19;Reflect;;False;;33;False;False;;Bulbasaur
20;Bide;;False;;34;False;False;;Bulbasaur
21;Rest;;False;;44;False;False;;Bulbasaur
22;Substitute;;False;;50;False;False;;Bulbasaur
23;Growl;1;False;;;False;False;;Ivysaur
24;Leech Seed;1;False;;;False;False;;Ivysaur
25;Leech Seed;7;False;;;False;False;;Ivysaur
26;Tackle;1;False;;;False;False;;Ivysaur
27;Vine Whip;13;False;;;False;False;;Ivysaur
28;PoisonPowder;22;False;;;False;False;;Ivysaur
29;Razor Leaf;30;False;;;False;False;;Ivysaur
30;Growth;38;False;;;False;False;;Ivysaur
31;Sleep Powder;46;False;;;False;False;;Ivysaur
32;SolarBeam;54;False;;22;False;False;;Ivysaur
33;Cut;;False;01;;False;False;;Ivysaur
34;Swords Dance;;False;;03;False;False;;Ivysaur
35;Toxic;;False;;06;False;False;;Ivysaur
36;Body Slam;;False;;08;False;False;;Ivysaur
37;Take Down;;False;;09;False;False;;Ivysaur
38;Double-Edge;;False;;10;False;False;;Ivysaur
39;Rage;;False;;20;False;False;;Ivysaur
40;Mega Drain;;False;;21;False;False;;Ivysaur
41;Mimic;;False;;31;False;False;;Ivysaur
42;Double Team;;False;;32;False;False;;Ivysaur
43;Reflect;;False;;33;False;False;;Ivysaur
44;Bide;;False;;34;False;False;;Ivysaur
45;Rest;;False;;44;False;False;;Ivysaur
46;Substitute;;False;;50;False;False;;Ivysaur
47;Growl;1;False;;;False;False;;Venusaur
48;Leech Seed;1;False;;;False;False;;Venusaur
49;Leech Seed;7;False;;;False;False;;Venusaur
50;Tackle;1;False;;;False;False;;Venusaur
51;Vine Whip;1;False;;;False;False;;Venusaur
52;Vine Whip;13;False;;;False;False;;Venusaur
53;PoisonPowder;22;False;;;False;False;;Venusaur
54;Razor Leaf;30;False;;;False;False;;Venusaur
55;Growth;43;False;;;False;False;;Venusaur
56;Sleep Powder;55;False;;;False;False;;Venusaur
57;SolarBeam;65;False;;22;False;False;;Venusaur
