;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Tackle;1;False;;;False;False;;Bulbasaur
1;Growl;4;False;;;False;False;;Bulbasaur
2;Leech Seed;7;False;;;False;False;;Bulbasaur
3;Vine Whip;10;False;;;False;False;;Bulbasaur
4;PoisonPowder;15;False;;;False;False;;Bulbasaur
5;Sleep Powder;15;False;;;False;False;;Bulbasaur
6;Razor Leaf;20;False;;;False;False;;Bulbasaur
7;Sweet Scent;25;False;;;False;False;;Bulbasaur
8;Growth;32;False;;;False;False;;Bulbasaur
9;Synthesis;39;False;;;False;False;;Bulbasaur
10;SolarBeam;46;False;;22;False;False;;Bulbasaur
11;Cut;;False;01;;False;False;;Bulbasaur
12;Strength;;False;04;;False;False;;Bulbasaur
13;Flash;;False;05;;False;False;;Bulbasaur
14;Rock Smash;;False;06;;False;False;;Bulbasaur
15;Toxic;;False;;06;False;False;;Bulbasaur
16;Bullet Seed;;False;;09;False;False;;Bulbasaur
17;Hidden Power;;False;;10;False;False;;Bulbasaur
18;Sunny Day;;False;;11;False;False;;Bulbasaur
19;Protect;;False;;17;False;False;;Bulbasaur
20;Giga Drain;;False;;19;False;False;;Bulbasaur
21;Frustration;;False;;21;False;False;;Bulbasaur
22;Return;;False;;27;False;False;;Bulbasaur
23;Double Team;;False;;32;False;False;;Bulbasaur
24;Sludge Bomb;;False;;36;False;False;;Bulbasaur
25;Facade;;False;;42;False;False;;Bulbasaur
26;Secret Power;;False;;43;False;False;;Bulbasaur
27;Rest;;False;;44;False;False;;Bulbasaur
28;Attract;;False;;45;False;False;;Bulbasaur
29;Charm;;False;;;True;False;;Bulbasaur
30;Curse;;False;;;True;False;;Bulbasaur
31;GrassWhistle;;False;;;True;False;;Bulbasaur
32;Light Screen;;False;;;True;False;;Bulbasaur
33;Magical Leaf;;False;;;True;False;;Bulbasaur
34;Petal Dance;;False;;;True;False;;Bulbasaur
35;Safeguard;;False;;;True;False;;Bulbasaur
36;Skull Bash;;False;;;True;False;;Bulbasaur
37;Ember;1;False;;;False;False;;Charizard
38;Ember;7;False;;;False;False;;Charizard
39;Growl;1;False;;;False;False;;Charizard
40;Scratch;1;False;;;False;False;;Charizard
41;SmokeScreen;1;False;;;False;False;;Charizard
42;SmokeScreen;13;False;;;False;False;;Charizard
43;Rage;20;False;;;False;False;;Charizard
44;Scary Face;27;False;;;False;False;;Charizard
45;Flamethrower;34;False;;35;False;False;;Charizard
46;Wing Attack;36;False;;;False;False;;Charizard
47;Slash;44;False;;;False;False;;Charizard
48;Dragon Rage;54;False;;;False;False;;Charizard
49;Fire Spin;64;False;;;False;False;;Charizard
50;Cut;;False;01;;False;False;;Charizard
51;Fly;;False;02;;False;False;;Charizard
52;Strength;;False;04;;False;False;;Charizard
53;Rock Smash;;False;06;;False;False;;Charizard
54;Focus Punch;;False;;01;False;False;;Charizard
55;Dragon Claw;;False;;02;False;False;;Charizard
56;Roar;;False;;05;False;False;;Charizard
57;Toxic;;False;;06;False;False;;Charizard
58;Hidden Power;;False;;10;False;False;;Charizard
59;Sunny Day;;False;;11;False;False;;Charizard
60;Hyper Beam;;False;;15;False;False;;Charizard
61;Protect;;False;;17;False;False;;Charizard
62;Frustration;;False;;21;False;False;;Charizard
63;Iron Tail;;False;;23;False;False;;Charizard
64;Earthquake;;False;;26;False;False;;Charizard
65;Return;;False;;27;False;False;;Charizard
66;Dig;;False;;28;False;False;;Charizard
67;Brick Break;;False;;31;False;False;;Charizard
68;Double Team;;False;;32;False;False;;Charizard
69;Fire Blast;;False;;38;False;False;;Charizard
70;Aerial Ace;;False;;40;False;False;;Charizard
71;Facade;;False;;42;False;False;;Charizard
72;Secret Power;;False;;43;False;False;;Charizard
73;Rest;;False;;44;False;False;;Charizard
74;Attract;;False;;45;False;False;;Charizard
75;Steel Wing;;False;;47;False;False;;Charizard
76;Overheat;;False;;50;False;False;;Charizard
77;AncientPower;;False;;;True;False;;Charizard
78;Beat Up;;False;;;True;False;;Charizard
79;Belly Drum;;False;;;True;False;;Charizard
80;Bite;;False;;;True;False;;Charizard
81;Dragon Dance;;False;;;True;False;;Charizard
82;Outrage;;False;;;True;False;;Charizard
83;Rock Slide;;False;;;True;False;;Charizard
84;Swords Dance;;False;;;True;False;;Charizard
85;Growl;1;False;;;False;False;;Ivysaur
86;Growl;4;False;;;False;False;;Ivysaur
87;Leech Seed;1;False;;;False;False;;Ivysaur
88;Leech Seed;7;False;;;False;False;;Ivysaur
89;Tackle;1;False;;;False;False;;Ivysaur
90;Vine Whip;10;False;;;False;False;;Ivysaur
91;PoisonPowder;15;False;;;False;False;;Ivysaur
92;Sleep Powder;15;False;;;False;False;;Ivysaur
93;Razor Leaf;22;False;;;False;False;;Ivysaur
94;Sweet Scent;29;False;;;False;False;;Ivysaur
95;Growth;38;False;;;False;False;;Ivysaur
96;Synthesis;47;False;;;False;False;;Ivysaur
97;SolarBeam;56;False;;22;False;False;;Ivysaur
98;Cut;;False;01;;False;False;;Ivysaur
99;Strength;;False;04;;False;False;;Ivysaur
100;Flash;;False;05;;False;False;;Ivysaur
101;Rock Smash;;False;06;;False;False;;Ivysaur
102;Toxic;;False;;06;False;False;;Ivysaur
103;Bullet Seed;;False;;09;False;False;;Ivysaur
104;Hidden Power;;False;;10;False;False;;Ivysaur
105;Sunny Day;;False;;11;False;False;;Ivysaur
106;Protect;;False;;17;False;False;;Ivysaur
107;Giga Drain;;False;;19;False;False;;Ivysaur
108;Frustration;;False;;21;False;False;;Ivysaur
109;Return;;False;;27;False;False;;Ivysaur
110;Double Team;;False;;32;False;False;;Ivysaur
111;Sludge Bomb;;False;;36;False;False;;Ivysaur
112;Facade;;False;;42;False;False;;Ivysaur
113;Secret Power;;False;;43;False;False;;Ivysaur
114;Rest;;False;;44;False;False;;Ivysaur
115;Attract;;False;;45;False;False;;Ivysaur
116;Charm;;False;;;True;False;;Ivysaur
117;Curse;;False;;;True;False;;Ivysaur
118;GrassWhistle;;False;;;True;False;;Ivysaur
119;Light Screen;;False;;;True;False;;Ivysaur
120;Magical Leaf;;False;;;True;False;;Ivysaur
121;Petal Dance;;False;;;True;False;;Ivysaur
122;Safeguard;;False;;;True;False;;Ivysaur
123;Skull Bash;;False;;;True;False;;Ivysaur
124;Growl;1;False;;;False;False;;Venusaur
125;Growl;4;False;;;False;False;;Venusaur
126;Leech Seed;1;False;;;False;False;;Venusaur
127;Leech Seed;7;False;;;False;False;;Venusaur
128;Tackle;1;False;;;False;False;;Venusaur
129;Vine Whip;1;False;;;False;False;;Venusaur
130;Vine Whip;10;False;;;False;False;;Venusaur
131;PoisonPowder;15;False;;;False;False;;Venusaur
132;Sleep Powder;15;False;;;False;False;;Venusaur
133;Razor Leaf;22;False;;;False;False;;Venusaur
134;Sweet Scent;29;False;;;False;False;;Venusaur
135;Growth;41;False;;;False;False;;Venusaur
136;Synthesis;53;False;;;False;False;;Venusaur
137;SolarBeam;65;False;;22;False;False;;Venusaur
138;Cut;;False;01;;False;False;;Venusaur
139;Strength;;False;04;;False;False;;Venusaur
140;Flash;;False;05;;False;False;;Venusaur
141;Rock Smash;;False;06;;False;False;;Venusaur
142;Roar;;False;;05;False;False;;Venusaur
143;Toxic;;False;;06;False;False;;Venusaur
144;Bullet Seed;;False;;09;False;False;;Venusaur
145;Hidden Power;;False;;10;False;False;;Venusaur
146;Sunny Day;;False;;11;False;False;;Venusaur
147;Hyper Beam;;False;;15;False;False;;Venusaur
148;Protect;;False;;17;False;False;;Venusaur
149;Giga Drain;;False;;19;False;False;;Venusaur
150;Frustration;;False;;21;False;False;;Venusaur
151;Earthquake;;False;;26;False;False;;Venusaur
152;Return;;False;;27;False;False;;Venusaur
153;Double Team;;False;;32;False;False;;Venusaur
154;Sludge Bomb;;False;;36;False;False;;Venusaur
155;Facade;;False;;42;False;False;;Venusaur
156;Secret Power;;False;;43;False;False;;Venusaur
157;Rest;;False;;44;False;False;;Venusaur
158;Attract;;False;;45;False;False;;Venusaur
159;Charm;;False;;;True;False;;Venusaur
160;Curse;;False;;;True;False;;Venusaur
161;GrassWhistle;;False;;;True;False;;Venusaur
162;Light Screen;;False;;;True;False;;Venusaur
163;Magical Leaf;;False;;;True;False;;Venusaur
164;Petal Dance;;False;;;True;False;;Venusaur
165;Safeguard;;False;;;True;False;;Venusaur
166;Skull Bash;;False;;;True;False;;Venusaur
167;Growl;1;False;;;False;False;;Charmander
168;Scratch;1;False;;;False;False;;Charmander
169;Ember;7;False;;;False;False;;Charmander
170;SmokeScreen;13;False;;;False;False;;Charmander
171;Rage;19;False;;;False;False;;Charmander
172;Scary Face;25;False;;;False;False;;Charmander
173;Flamethrower;31;False;;35;False;False;;Charmander
174;Slash;37;False;;;False;False;;Charmander
175;Dragon Rage;43;False;;;False;False;;Charmander
176;Fire Spin;49;False;;;False;False;;Charmander
177;Cut;;False;01;;False;False;;Charmander
178;Strength;;False;04;;False;False;;Charmander
179;Rock Smash;;False;06;;False;False;;Charmander
180;Focus Punch;;False;;01;False;False;;Charmander
181;Dragon Claw;;False;;02;False;False;;Charmander
182;Toxic;;False;;06;False;False;;Charmander
183;Hidden Power;;False;;10;False;False;;Charmander
184;Sunny Day;;False;;11;False;False;;Charmander
185;Protect;;False;;17;False;False;;Charmander
186;Frustration;;False;;21;False;False;;Charmander
187;Iron Tail;;False;;23;False;False;;Charmander
188;Return;;False;;27;False;False;;Charmander
189;Dig;;False;;28;False;False;;Charmander
190;Brick Break;;False;;31;False;False;;Charmander
191;Double Team;;False;;32;False;False;;Charmander
192;Fire Blast;;False;;38;False;False;;Charmander
193;Aerial Ace;;False;;40;False;False;;Charmander
194;Facade;;False;;42;False;False;;Charmander
195;Secret Power;;False;;43;False;False;;Charmander
196;Rest;;False;;44;False;False;;Charmander
197;Attract;;False;;45;False;False;;Charmander
