Name;Type;Category;Power;Accuracy;PP;Effect
Aqua Cutter;Water;Physical;70;100;20;High critical hit ratio.
Aqua Step;Water;Physical;80;100;10;Raises user's Speed.
Armor Cannon;Fire;Special;120;100;5;Lowers user's Defense and Special Defense.
Axe Kick;Fighting;Physical;120;90;10;May confuse opponent. If it misses, the user loses HP.
Bitter Blade;Fire;Physical;90;100;10;User recovers half the HP inflicted on opponent.
Blazing Torque;Fire;Physical;80;100;10;
Chilling Water;Water;Special;50;100;20;Lowers opponent's Attack.
Chilly Reception;Ice;Status;;;10;Switches out and summons a snowstorm lasting 5 turns.
Collision Course;Fighting;Physical;100;100;5;Boosted even more if it's super-effective.
Combat Torque;Fighting;Physical;100;100;10;
Comeuppance;Dark;Physical;1;100;10;Deals more damage to the opponent that last inflicted damage on it.
Doodle;Normal;Status;;100;10;Changes the abilities of the user and its teammates to that of the target.
Double Shock;Electric;Physical;120;100;5;After using this move, the user will no longer be Electric type.
Electro Drift;Electric;Special;100;100;5;Boosted even more if it's super-effective.
Fillet Away;Normal;Status;;;10;Lowers HP but sharply boosts Attack, Special Attack, and Speed.
Flower Trick;Grass;Physical;70;inf;10;"Never misses; always results in a critical hit."
Gigaton Hammer;Steel;Physical;160;100;5;Cannot be used twice in a row.
Glaive Rush;Dragon;Physical;120;100;5;Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.
Hydro Steam;Water;Special;80;100;15;Power increases in harsh sunlight.
Hyper Drill;Normal;Physical;100;100;5;Can strike through Protect/Detect.
Ice Spinner;Ice;Physical;80;100;15;Removes effects of Terrain.
Jet Punch;Water;Physical;60;100;15;Always goes first.
Kowtow Cleave;Dark;Physical;85;inf;10;Always hits.
Last Respects;Ghost;Physical;50;100;10;Damages increases the more party Pokémon have been defeated.
Lumina Crash;Psychic;Special;80;100;10;Harshly lowers target’s Special Defense.
Magical Torque;Fairy;Physical;100;100;10;
Make It Rain;Steel;Special;120;100;5;Lowers user's Special Attack. Money is earned after the battle.
Mortal Spin;Poison;Physical;30;100;15;Removes entry hazards and trap move effects, and poisons opposing Pokémon.
Noxious Torque;Poison;Physical;100;100;10;
Order Up;Dragon;Physical;80;100;10;
Population Bomb;Normal;Physical;20;90;10;Hits 1-10 times in a row.
Pounce;Bug;Physical;50;100;20;Lowers opponent's Speed.
Psyblade;Psychic;Physical;80;100;15;Power increases on Electric Terrain.
Rage Fist;Ghost;Physical;50;100;10;The more times the user has been hit by attacks, the greater the move's power.
Raging Bull;Normal;Physical;90;100;10;Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.
Revival Blessing;Normal;Status;;;1;Revives a fainted party Pokémon to half HP.
Ruination;Dark;Special;1;90;10;Halves the opponent's HP.
Salt Cure;Rock;Physical;40;100;15;"Deals damage each turn; Steel and Water types are more affected."
Shed Tail;Normal;Status;;;10;Creates a substitute, then swaps places with a party Pokémon in waiting.
Silk Trap;Bug;Status;;;10;Protects the user and lowers opponent's Speed on contact.
Snowscape;Ice;Status;;;10;Raises Defense of Ice types for 5 turns.
Spicy Extract;Grass;Status;;inf;15;Harshly lowers the opponent's Defense and sharply raises their Attack.
Spin Out;Steel;Physical;100;100;5;Harshly lowers user’s Speed.
Tera Blast;Normal;Special;80;100;10;Changes type when the user has Terastallized.
Tidy Up;Normal;Status;;;10;Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.
Torch Song;Fire;Special;80;100;10;Raises user's Special Attack.
Trailblaze;Grass;Physical;50;100;20;Raises user's Speed.
Triple Dive;Water;Physical;30;95;10;Hits 3 times in a row.
Twin Beam;Psychic;Special;40;100;10;Hits twice in one turn.
Wicked Torque;Dark;Physical;80;100;10;
