;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Tackle;1;False;;;False;False;;Bulbasaur
1;Growl;3;False;;;False;False;;Bulbasaur
2;Leech Seed;7;False;;;False;False;;Bulbasaur
3;Vine Whip;9;False;;;False;False;;Bulbasaur
4;PoisonPowder;13;False;;;False;False;;Bulbasaur
5;Sleep Powder;13;False;;;False;False;;Bulbasaur
6;Take Down;15;False;;;False;False;;Bulbasaur
7;Razor Leaf;19;False;;;False;False;;Bulbasaur
8;Sweet Scent;21;False;;;False;False;;Bulbasaur
9;Growth;25;False;;;False;False;;Bulbasaur
10;Double-Edge;27;False;;;False;False;;Bulbasaur
11;Worry Seed;31;False;;;False;False;;Bulbasaur
12;Synthesis;33;False;;;False;False;;Bulbasaur
13;Seed Bomb;37;False;;;False;False;;Bulbasaur
14;Cut;;False;01;;False;False;;Bulbasaur
15;Strength;;False;04;;False;False;;Bulbasaur
16;Rock Smash;;False;06;;False;False;;Bulbasaur
17;Toxic;;False;;06;False;False;;Bulbasaur
18;Bullet Seed;;False;;09;False;False;;Bulbasaur
19;Hidden Power;;False;;10;False;False;;Bulbasaur
20;Sunny Day;;False;;11;False;False;;Bulbasaur
21;Protect;;False;;17;False;False;;Bulbasaur
22;Giga Drain;;False;;19;False;False;;Bulbasaur
23;Frustration;;False;;21;False;False;;Bulbasaur
24;SolarBeam;;False;;22;False;False;;Bulbasaur
25;Return;;False;;27;False;False;;Bulbasaur
26;Double Team;;False;;32;False;False;;Bulbasaur
27;Sludge Bomb;;False;;36;False;False;;Bulbasaur
28;Facade;;False;;42;False;False;;Bulbasaur
29;Secret Power;;False;;43;False;False;;Bulbasaur
30;Rest;;False;;44;False;False;;Bulbasaur
31;Attract;;False;;45;False;False;;Bulbasaur
32;Energy Ball;;False;;53;False;False;;Bulbasaur
33;Endure;;False;;58;False;False;;Bulbasaur
34;Flash;;False;;70;False;False;;Bulbasaur
35;Swords Dance;;False;;75;False;False;;Bulbasaur
36;Captivate;;False;;78;False;False;;Bulbasaur
37;Sleep Talk;;False;;82;False;False;;Bulbasaur
38;Natural Gift;;False;;83;False;False;;Bulbasaur
39;Grass Knot;;False;;86;False;False;;Bulbasaur
40;Swagger;;False;;87;False;False;;Bulbasaur
41;Substitute;;False;;90;False;False;;Bulbasaur
42;Amnesia;;False;;;True;False;;Bulbasaur
43;Charm;;False;;;True;False;;Bulbasaur
44;Curse;;False;;;True;False;;Bulbasaur
45;GrassWhistle;;False;;;True;False;;Bulbasaur
46;Ingrain;;False;;;True;False;;Bulbasaur
47;Leaf Storm;;False;;;True;False;;Bulbasaur
48;Light Screen;;False;;;True;False;;Bulbasaur
49;Magical Leaf;;False;;;True;False;;Bulbasaur
50;Nature Power;;False;;;True;False;;Bulbasaur
51;Petal Dance;;False;;;True;False;;Bulbasaur
52;Safeguard;;False;;;True;False;;Bulbasaur
53;Skull Bash;;False;;;True;False;;Bulbasaur
54;Growl;1;False;;;False;False;;Ivysaur
55;Growl;3;False;;;False;False;;Ivysaur
56;Leech Seed;1;False;;;False;False;;Ivysaur
57;Leech Seed;7;False;;;False;False;;Ivysaur
