;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Tackle;1;False;;;False;False;;Bulbasaur
1;Growl;4;False;;;False;False;;Bulbasaur
2;Leech Seed;7;False;;;False;False;;Bulbasaur
3;Vine Whip;10;False;;;False;False;;Bulbasaur
4;PoisonPowder;15;False;;;False;False;;Bulbasaur
5;Sleep Powder;15;False;;;False;False;;Bulbasaur
6;Razor Leaf;20;False;;;False;False;;Bulbasaur
7;Sweet Scent;25;False;;12;False;False;;Bulbasaur
8;Growth;32;False;;;False;False;;Bulbasaur
9;Synthesis;39;False;;;False;False;;Bulbasaur
10;SolarBeam;46;False;;22;False;False;;Bulbasaur
11;Cut;;False;01;;False;False;;Bulbasaur
12;Flash;;False;05;;False;False;;Bulbasaur
13;Headbutt;;False;;02;False;False;;Bulbasaur
14;Curse;;False;;03;False;False;;Bulbasaur
15;Toxic;;False;;06;False;False;;Bulbasaur
16;Hidden Power;;False;;10;False;False;;Bulbasaur
17;Sunny Day;;False;;11;False;False;;Bulbasaur
18;Snore;;False;;13;False;False;;Bulbasaur
19;Protect;;False;;17;False;False;;Bulbasaur
20;Giga Drain;;False;;19;False;False;;Bulbasaur
21;Endure;;False;;20;False;False;;Bulbasaur
22;Frustration;;False;;21;False;False;;Bulbasaur
23;Return;;False;;27;False;False;;Bulbasaur
24;Mud-Slap;;False;;31;False;False;;Bulbasaur
25;Double Team;;False;;32;False;False;;Bulbasaur
26;Swagger;;False;;34;False;False;;Bulbasaur
27;Sleep Talk;;False;;35;False;False;;Bulbasaur
28;Defense Curl;;False;;40;False;False;;Bulbasaur
29;Rest;;False;;44;False;False;;Bulbasaur
30;Attract;;False;;45;False;False;;Bulbasaur
31;Fury Cutter;;False;;49;False;False;;Bulbasaur
32;Charm;;False;;;True;False;;Bulbasaur
33;Light Screen;;False;;;True;False;;Bulbasaur
34;Petal Dance;;False;;;True;False;;Bulbasaur
35;Razor Wind;;False;;;True;False;;Bulbasaur
36;Safeguard;;False;;;True;False;;Bulbasaur
37;Skull Bash;;False;;;True;False;;Bulbasaur
38;Ember;1;False;;;False;False;;Charizard
39;Ember;7;False;;;False;False;;Charizard
40;Growl;1;False;;;False;False;;Charizard
41;Scratch;1;False;;;False;False;;Charizard
42;SmokeScreen;1;False;;;False;False;;Charizard
43;SmokeScreen;13;False;;;False;False;;Charizard
44;Rage;20;False;;;False;False;;Charizard
45;Scary Face;27;False;;;False;False;;Charizard
46;Flamethrower;34;False;;;False;False;;Charizard
47;Wing Attack;36;False;;;False;False;;Charizard
48;Slash;44;False;;;False;False;;Charizard
49;Dragon Rage;54;False;;;False;False;;Charizard
50;Fire Spin;64;False;;;False;False;;Charizard
51;Cut;;False;01;;False;False;;Charizard
52;Fly;;False;02;;False;False;;Charizard
53;Strength;;False;04;;False;False;;Charizard
54;DynamicPunch;;False;;01;False;False;;Charizard
55;Headbutt;;False;;02;False;False;;Charizard
56;Curse;;False;;03;False;False;;Charizard
57;Roar;;False;;05;False;False;;Charizard
58;Toxic;;False;;06;False;False;;Charizard
59;Rock Smash;;False;;08;False;False;;Charizard
60;Hidden Power;;False;;10;False;False;;Charizard
61;Sunny Day;;False;;11;False;False;;Charizard
62;Snore;;False;;13;False;False;;Charizard
63;Hyper Beam;;False;;15;False;False;;Charizard
64;Protect;;False;;17;False;False;;Charizard
65;Endure;;False;;20;False;False;;Charizard
66;Frustration;;False;;21;False;False;;Charizard
67;Iron Tail;;False;;23;False;False;;Charizard
68;DragonBreath;;False;;24;False;False;;Charizard
69;Earthquake;;False;;26;False;False;;Charizard
70;Return;;False;;27;False;False;;Charizard
71;Dig;;False;;28;False;False;;Charizard
72;Mud-Slap;;False;;31;False;False;;Charizard
73;Double Team;;False;;32;False;False;;Charizard
74;Swagger;;False;;34;False;False;;Charizard
75;Sleep Talk;;False;;35;False;False;;Charizard
76;Sandstorm;;False;;37;False;False;;Charizard
77;Fire Blast;;False;;38;False;False;;Charizard
78;Swift;;False;;39;False;False;;Charizard
79;Defense Curl;;False;;40;False;False;;Charizard
80;Rest;;False;;44;False;False;;Charizard
81;Attract;;False;;45;False;False;;Charizard
82;Steel Wing;;False;;47;False;False;;Charizard
83;Fire Punch;;False;;48;False;False;;Charizard
84;Fury Cutter;;False;;49;False;False;;Charizard
85;AncientPower;;False;;;True;False;;Charizard
86;Beat Up;;False;;;True;False;;Charizard
87;Belly Drum;;False;;;True;False;;Charizard
88;Bite;;False;;;True;False;;Charizard
89;Outrage;;False;;;True;False;;Charizard
90;Rock Slide;;False;;;True;False;;Charizard
91;Growl;1;False;;;False;False;;Ivysaur
92;Growl;4;False;;;False;False;;Ivysaur
93;Leech Seed;1;False;;;False;False;;Ivysaur
94;Leech Seed;7;False;;;False;False;;Ivysaur
95;Tackle;1;False;;;False;False;;Ivysaur
96;Vine Whip;10;False;;;False;False;;Ivysaur
97;PoisonPowder;15;False;;;False;False;;Ivysaur
98;Sleep Powder;15;False;;;False;False;;Ivysaur
99;Razor Leaf;22;False;;;False;False;;Ivysaur
100;Sweet Scent;29;False;;12;False;False;;Ivysaur
101;Growth;38;False;;;False;False;;Ivysaur
102;Synthesis;47;False;;;False;False;;Ivysaur
103;SolarBeam;56;False;;22;False;False;;Ivysaur
104;Cut;;False;01;;False;False;;Ivysaur
105;Flash;;False;05;;False;False;;Ivysaur
106;Headbutt;;False;;02;False;False;;Ivysaur
107;Curse;;False;;03;False;False;;Ivysaur
108;Toxic;;False;;06;False;False;;Ivysaur
109;Hidden Power;;False;;10;False;False;;Ivysaur
110;Sunny Day;;False;;11;False;False;;Ivysaur
111;Snore;;False;;13;False;False;;Ivysaur
112;Protect;;False;;17;False;False;;Ivysaur
113;Giga Drain;;False;;19;False;False;;Ivysaur
114;Endure;;False;;20;False;False;;Ivysaur
115;Frustration;;False;;21;False;False;;Ivysaur
116;Return;;False;;27;False;False;;Ivysaur
117;Mud-Slap;;False;;31;False;False;;Ivysaur
118;Double Team;;False;;32;False;False;;Ivysaur
119;Swagger;;False;;34;False;False;;Ivysaur
120;Sleep Talk;;False;;35;False;False;;Ivysaur
121;Defense Curl;;False;;40;False;False;;Ivysaur
122;Rest;;False;;44;False;False;;Ivysaur
123;Attract;;False;;45;False;False;;Ivysaur
124;Fury Cutter;;False;;49;False;False;;Ivysaur
125;Charm;;False;;;True;False;;Ivysaur
126;Light Screen;;False;;;True;False;;Ivysaur
127;Petal Dance;;False;;;True;False;;Ivysaur
128;Razor Wind;;False;;;True;False;;Ivysaur
129;Safeguard;;False;;;True;False;;Ivysaur
130;Skull Bash;;False;;;True;False;;Ivysaur
131;Growl;1;False;;;False;False;;Venusaur
132;Growl;4;False;;;False;False;;Venusaur
133;Leech Seed;1;False;;;False;False;;Venusaur
134;Leech Seed;7;False;;;False;False;;Venusaur
135;Tackle;1;False;;;False;False;;Venusaur
136;Vine Whip;1;False;;;False;False;;Venusaur
137;Vine Whip;10;False;;;False;False;;Venusaur
138;PoisonPowder;15;False;;;False;False;;Venusaur
139;Sleep Powder;15;False;;;False;False;;Venusaur
140;Razor Leaf;22;False;;;False;False;;Venusaur
141;Sweet Scent;29;False;;12;False;False;;Venusaur
142;Growth;41;False;;;False;False;;Venusaur
143;Synthesis;53;False;;;False;False;;Venusaur
144;SolarBeam;65;False;;22;False;False;;Venusaur
145;Cut;;False;01;;False;False;;Venusaur
146;Flash;;False;05;;False;False;;Venusaur
147;Headbutt;;False;;02;False;False;;Venusaur
148;Curse;;False;;03;False;False;;Venusaur
149;Roar;;False;;05;False;False;;Venusaur
150;Toxic;;False;;06;False;False;;Venusaur
151;Hidden Power;;False;;10;False;False;;Venusaur
152;Sunny Day;;False;;11;False;False;;Venusaur
153;Snore;;False;;13;False;False;;Venusaur
154;Hyper Beam;;False;;15;False;False;;Venusaur
155;Protect;;False;;17;False;False;;Venusaur
156;Giga Drain;;False;;19;False;False;;Venusaur
157;Endure;;False;;20;False;False;;Venusaur
158;Frustration;;False;;21;False;False;;Venusaur
159;Return;;False;;27;False;False;;Venusaur
160;Mud-Slap;;False;;31;False;False;;Venusaur
161;Double Team;;False;;32;False;False;;Venusaur
162;Swagger;;False;;34;False;False;;Venusaur
163;Sleep Talk;;False;;35;False;False;;Venusaur
164;Defense Curl;;False;;40;False;False;;Venusaur
165;Rest;;False;;44;False;False;;Venusaur
166;Attract;;False;;45;False;False;;Venusaur
167;Fury Cutter;;False;;49;False;False;;Venusaur
168;Charm;;False;;;True;False;;Venusaur
169;Light Screen;;False;;;True;False;;Venusaur
170;Petal Dance;;False;;;True;False;;Venusaur
171;Razor Wind;;False;;;True;False;;Venusaur
172;Safeguard;;False;;;True;False;;Venusaur
173;Skull Bash;;False;;;True;False;;Venusaur
174;Growl;1;False;;;False;False;;Charmander
175;Scratch;1;False;;;False;False;;Charmander
176;Ember;7;False;;;False;False;;Charmander
177;SmokeScreen;13;False;;;False;False;;Charmander
178;Rage;19;False;;;False;False;;Charmander
179;Scary Face;25;False;;;False;False;;Charmander
180;Flamethrower;31;False;;;False;False;;Charmander
181;Slash;37;False;;;False;False;;Charmander
182;Dragon Rage;43;False;;;False;False;;Charmander
183;Fire Spin;49;False;;;False;False;;Charmander
184;Cut;;False;01;;False;False;;Charmander
185;Strength;;False;04;;False;False;;Charmander
186;DynamicPunch;;False;;01;False;False;;Charmander
187;Headbutt;;False;;02;False;False;;Charmander
188;Curse;;False;;03;False;False;;Charmander
189;Toxic;;False;;06;False;False;;Charmander
190;Rock Smash;;False;;08;False;False;;Charmander
191;Hidden Power;;False;;10;False;False;;Charmander
192;Sunny Day;;False;;11;False;False;;Charmander
193;Snore;;False;;13;False;False;;Charmander
194;Protect;;False;;17;False;False;;Charmander
195;Endure;;False;;20;False;False;;Charmander
196;Frustration;;False;;21;False;False;;Charmander
197;Iron Tail;;False;;23;False;False;;Charmander
