;Move;Lvl;PreEvol;HM;TM;Egg;Tutor;TR;Pokemon
0;Growl;1;False;;;False;False;;Bulbasaur
1;Tackle;1;False;;;False;False;;Bulbasaur
2;Vine Whip;3;False;;;False;False;;Bulbasaur
3;Growth;6;False;;;False;False;;Bulbasaur
4;Leech Seed;9;False;;;False;False;;Bulbasaur
5;Razor Leaf;12;False;;;False;False;;Bulbasaur
6;Poison Powder;15;False;;;False;False;;Bulbasaur
7;Sleep Powder;15;False;;;False;False;;Bulbasaur
8;Seed Bomb;18;False;;;False;False;59;Bulbasaur
9;Take Down;21;False;;;False;False;;Bulbasaur
10;Sweet Scent;24;False;;;False;False;;Bulbasaur
11;Synthesis;27;False;;;False;False;;Bulbasaur
12;Worry Seed;30;False;;;False;False;;Bulbasaur
13;Double-Edge;33;False;;;False;False;;Bulbasaur
14;Solar Beam;36;False;;11;False;False;;Bulbasaur
15;Magical Leaf;;False;;10;False;False;;Bulbasaur
16;Light Screen;;False;;17;False;False;;Bulbasaur
17;Safeguard;;False;;19;False;False;;Bulbasaur
18;Rest;;False;;21;False;False;;Bulbasaur
19;Snore;;False;;24;False;False;;Bulbasaur
20;Protect;;False;;25;False;False;;Bulbasaur
21;Giga Drain;;False;;28;False;False;;Bulbasaur
22;Charm;;False;;29;False;False;;Bulbasaur
23;Attract;;False;;31;False;False;;Bulbasaur
24;Sunny Day;;False;;34;False;False;;Bulbasaur
25;Facade;;False;;39;False;False;;Bulbasaur
26;Helping Hand;;False;;41;False;False;;Bulbasaur
27;Weather Ball;;False;;46;False;False;;Bulbasaur
28;Bullet Seed;;False;;50;False;False;;Bulbasaur
29;Venoshock;;False;;74;False;False;;Bulbasaur
30;Round;;False;;76;False;False;;Bulbasaur
31;Grassy Terrain;;False;;88;False;False;;Bulbasaur
32;False Swipe;;False;;94;False;False;;Bulbasaur
33;Curse;;False;;;True;False;;Bulbasaur
34;Ingrain;;False;;;True;False;;Bulbasaur
35;Nature Power;;False;;;True;False;;Bulbasaur
36;Petal Dance;;False;;;True;False;;Bulbasaur
37;Skull Bash;;False;;;True;False;;Bulbasaur
38;Toxic;;False;;;True;False;;Bulbasaur
39;Grassy Glide;;False;;;False;True;;Bulbasaur
40;Swords Dance;;False;;;False;False;00;Bulbasaur
41;Body Slam;;False;;;False;False;01;Bulbasaur
42;Amnesia;;False;;;False;False;17;Bulbasaur
43;Substitute;;False;;;False;False;20;Bulbasaur
44;Sludge Bomb;;False;;;False;False;22;Bulbasaur
45;Endure;;False;;;False;False;26;Bulbasaur
46;Sleep Talk;;False;;;False;False;27;Bulbasaur
47;Energy Ball;;False;;;False;False;65;Bulbasaur
48;Leaf Storm;;False;;;False;False;71;Bulbasaur
49;Power Whip;;False;;;False;False;72;Bulbasaur
50;Grass Knot;;False;;;False;False;77;Bulbasaur
51;Work Up;;False;;;False;False;85;Bulbasaur
52;Growl;1;False;;;False;False;;Ivysaur
53;Growth;1;False;;;False;False;;Ivysaur
54;Tackle;1;False;;;False;False;;Ivysaur
55;Vine Whip;1;False;;;False;False;;Ivysaur
