Name;Type;Category;Power;Accuracy;PP;Effect
Apple Acid;Grass;Special;80;100;10;Lowers target's Special Defense.
Astral Barrage;Ghost;Special;120;100;5;The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Aura Wheel;Electric;Physical;110;100;10;Changes type based on Morpeko's Mode.
Barb Barrage;Poison;Physical;60;100;10;Inflicts double damage if the target has a status condition.
Behemoth Bash;Steel;Physical;100;100;5;Damage doubles if target is Dynamaxed.
Behemoth Blade;Steel;Physical;100;100;5;Damage doubles if target is Dynamaxed.
Bitter Malice;Ghost;Special;75;100;10;Inflicts double damage if the target has a status condition.
Bleakwind Storm;Flying;Special;100;80;10;May cause frostbite.
Body Press;Fighting;Physical;80;100;10;The higher the user's Defense, the stronger the attack.
Bolt Beak;Electric;Physical;85;100;10;If the user attacks before the target, the power of this move is doubled.
Branch Poke;Grass;Physical;40;100;40;
Breaking Swipe;Dragon;Physical;60;100;15;Hits multiple opponents and lowers their attack.
Burning Jealousy;Fire;Special;70;100;5;Hits all opponents, and burns any that have had their stats boosted.
Ceaseless Edge;Dark;Physical;65;90;15;High critical hit ratio. Damages target with splinters each turn.
Chloroblast;Grass;Special;150;95;5;User receives recoil damage.
Clangorous Soul;Dragon;Status;;100;5;Raises all user's stats but loses HP.
Coaching;Fighting;Status;;;10;Boosts Attack and Defense of a teammate.
Corrosive Gas;Poison;Status;;100;40;Removes opponent's items.
Court Change;Normal;Status;;100;10;Swaps the effects on either side of the field.
Decorate;Fairy;Status;;;15;Sharply raises target's Attack and Special Attack.
Dire Claw;Poison;Physical;80;100;15;High critical hit ratio. May poison, paralyze or make the opponent drowsy.
Dragon Darts;Dragon;Physical;50;100;10;User attacks twice.
Dragon Energy;Dragon;Special;150;100;5;The higher the user's HP, the higher the power.
Drum Beating;Grass;Physical;80;100;10;Lowers opponent's Speed.
Dual Wingbeat;Flying;Physical;40;90;10;The user slams the target with its wings. The target is hit twice in a row.
Dynamax Cannon;Dragon;Special;100;100;5;Damage doubles if opponent is Dynamaxed.
Eerie Spell;Psychic;Special;80;100;5;Deals damage and reduces opponent's PP.
Esper Wing;Psychic;Special;80;100;10;High critical hit ratio. Raises user's Speed.
Eternabeam;Dragon;Special;160;90;5;User can't move on the next turn.
Expanding Force;Psychic;Special;80;100;10;Increases power and hits all opponents on Psychic Terrain.
False Surrender;Dark;Physical;80;inf;10;Ignores Accuracy and Evasiveness.
Fiery Wrath;Dark;Special;90;100;10;May cause flinching.
Fishious Rend;Water;Physical;85;100;10;If the user attacks before the target, the power of this move is doubled.
Flip Turn;Water;Physical;60;100;20;After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
Freezing Glare;Psychic;Special;90;100;10;May freeze opponent.
G-Max Befuddle;Bug;—;;inf;5;Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.
G-Max Cannonade;Water;—;;inf;10;Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.
G-Max Centiferno;Fire;—;;inf;5;Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.
G-Max Chi Strike;Fighting;—;;inf;5;Machamp-exclusive G-Max Move. Increases critical hit ratio.
G-Max Cuddle;Normal;—;;inf;5;Eevee-exclusive G-Max Move. Infatuates opponents.
G-Max Depletion;Dragon;—;;inf;5;Duraludon-exclusive G-Max Move. Reduces opponent's PP.
G-Max Drum Solo;Grass;—;;inf;5;Rillaboom-exclusive G-Max Move. Ignores target's ability.
G-Max Finale;Fairy;—;;inf;5;Alcremie-exclusive G-Max Move. Heals the user's team.
G-Max Fireball;Fire;—;;inf;5;Cinderace-exclusive G-Max Move. Ignores target's ability.
G-Max Foam Burst;Water;—;;inf;5;Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.
G-Max Gold Rush;Normal;—;;inf;5;Meowth-exclusive G-Max Move. Confuses opponents and earns more money.
G-Max Gravitas;Psychic;—;;inf;5;Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.
G-Max Hydrosnipe;Water;—;;inf;5;Inteleon-exclusive G-Max Move. Ignores target's ability.
G-Max Malodor;Poison;—;;inf;5;Garbodor-exclusive G-Max Move. Poisons opponents.
G-Max Meltdown;Steel;—;;inf;5;Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.
G-Max One Blow;Dark;—;;inf;5;Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.
G-Max Rapid Flow;Water;—;;inf;5;Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.
G-Max Replenish;Normal;—;;inf;5;Snorlax-exclusive G-Max Move. Recycles Berries.
G-Max Resonance;Ice;—;;inf;5;Lapras-exclusive G-Max Move. Reduces damage for 5 turns.
