Name;Type;Category;Power;Accuracy;PP;Effect
Aeroblast;Flying;Special;100;95;5;High critical hit ratio.
Ancient Power;Rock;Special;60;100;5;May raise all user's stats at once.
Attract;Normal;Status;;100;15;If opponent is the opposite gender, it's less likely to attack.
Baton Pass;Normal;Status;;;40;User switches out and gives stat changes to the incoming Pokémon.
Beat Up;Dark;Physical;;100;10;Each Pokémon in user's party attacks.
Belly Drum;Normal;Status;;;10;User loses 50% of its max HP, but Attack raises to maximum.
Bone Rush;Ground;Physical;25;90;10;Hits 2-5 times in one turn.
Charm;Fairy;Status;;100;20;Sharply lowers opponent's Attack.
Conversion 2;Normal;Status;;;30;User changes type to become resistant to opponent's last move.
Cotton Spore;Grass;Status;;100;40;Sharply lowers opponent's Speed.
Cross Chop;Fighting;Physical;100;80;5;High critical hit ratio.
Crunch;Dark;Physical;80;100;15;May lower opponent's Defense.
Curse;Ghost;Status;;;10;"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Destiny Bond;Ghost;Status;;;5;If the user faints, the opponent also faints.
Detect;Fighting;Status;;;5;Protects the user, but may fail if used consecutively.
Dragon Breath;Dragon;Special;60;100;20;May paralyze opponent.
Dynamic Punch;Fighting;Physical;100;50;5;Confuses opponent.
Encore;Normal;Status;;100;5;Forces opponent to keep using its last move for 3 turns.
Endure;Normal;Status;;;10;Always left with at least 1 HP, but may fail if used consecutively.
Extreme Speed;Normal;Physical;80;100;5;User attacks first.
False Swipe;Normal;Physical;40;100;40;Always leaves opponent with at least 1 HP.
Feint Attack;Dark;Physical;60;inf;20;Ignores Accuracy and Evasiveness.
Flail;Normal;Physical;;100;15;The lower the user's HP, the higher the power.
Flame Wheel;Fire;Physical;60;100;25;May burn opponent.
Foresight;Normal;Status;;;40;Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.
Frustration;Normal;Physical;;100;20;Power decreases with higher Friendship.
Fury Cutter;Bug;Physical;40;95;20;Power increases each turn.
Future Sight;Psychic;Special;120;100;10;Damage occurs 2 turns later.
Giga Drain;Grass;Special;75;100;10;User recovers half the HP inflicted on opponent.
Heal Bell;Normal;Status;;;5;Heals the user's party's status conditions.
Hidden Power;Normal;Special;60;100;15;Type and power depends on user's IVs.
Icy Wind;Ice;Special;55;95;15;Lowers opponent's Speed.
Iron Tail;Steel;Physical;100;75;15;May lower opponent's Defense.
Lock-On;Normal;Status;;;5;User's next attack is guaranteed to hit.
Mach Punch;Fighting;Physical;40;100;30;User attacks first.
Magnitude;Ground;Physical;;100;30;Hits with random power.
Mean Look;Normal;Status;;;5;Opponent cannot flee or switch.
Megahorn;Bug;Physical;120;85;10;
Metal Claw;Steel;Physical;50;95;35;May raise user's Attack.
Milk Drink;Normal;Status;;;5;User recovers half its max HP.
Mind Reader;Normal;Status;;;5;User's next attack is guaranteed to hit.
Mirror Coat;Psychic;Special;;100;20;When hit by a Special Attack, user strikes back with 2x power.
Moonlight;Fairy;Status;;;5;User recovers HP. Amount varies with the weather.
Morning Sun;Normal;Status;;;5;User recovers HP. Amount varies with the weather.
Mud-Slap;Ground;Special;20;100;10;Lowers opponent's Accuracy.
Nightmare;Ghost;Status;;100;15;The sleeping opponent loses 25% of its max HP each turn.
Octazooka;Water;Special;65;85;10;May lower opponent's Accuracy.
Outrage;Dragon;Physical;120;100;10;User attacks for 2-3 turns but then becomes confused.
Pain Split;Normal;Status;;;20;The user's and opponent's HP becomes the average of both.
Perish Song;Normal;Status;;;5;Any Pokémon in play when this attack is used faints in 3 turns.
Powder Snow;Ice;Special;40;100;25;May freeze opponent.
Present;Normal;Physical;;90;15;Either deals damage or heals.
Protect;Normal;Status;;;10;Protects the user, but may fail if used consecutively.
Psych Up;Normal;Status;;;10;Copies the opponent's stat changes.
Pursuit;Dark;Physical;40;100;20;Double power if the opponent is switching out.
Rain Dance;Water;Status;;;5;Makes it rain for 5 turns.
Rapid Spin;Normal;Physical;50;100;40;Raises user's Speed and removes entry hazards and trap move effects.
Return;Normal;Physical;;100;20;Power increases with higher Friendship.
Reversal;Fighting;Physical;;100;15;The lower the user's HP, the higher the power.
Rock Smash;Fighting;Physical;40;100;15;May lower opponent's Defense.
Rollout;Rock;Physical;30;90;20;Doubles in power each turn for 5 turns.
Sacred Fire;Fire;Physical;100;95;5;May burn opponent.
Safeguard;Normal;Status;;;25;The user's party is protected from status conditions.
Sandstorm;Rock;Status;;;10;Creates a sandstorm for 5 turns.
Scary Face;Normal;Status;;100;10;Sharply lowers opponent's Speed.
Shadow Ball;Ghost;Special;80;100;15;May lower opponent's Special Defense.
Sketch;Normal;Status;;;1;Permanently copies the opponent's last move.
Sleep Talk;Normal;Status;;;10;User performs one of its own moves while sleeping.
Sludge Bomb;Poison;Special;90;100;10;May poison opponent.
Snore;Normal;Special;50;100;15;Can only be used if asleep. May cause flinching.
Spark;Electric;Physical;65;100;20;May paralyze opponent.
Spider Web;Bug;Status;;;10;Opponent cannot escape/switch.
Spikes;Ground;Status;;;20;Hurts opponents when they switch into battle.
Spite;Ghost;Status;;100;10;The opponent's last move loses 2-5 PP.
Steel Wing;Steel;Physical;70;90;25;May raise user's Defense.
Sunny Day;Fire;Status;;;5;Makes it sunny for 5 turns.
Swagger;Normal;Status;;85;15;Confuses opponent, but sharply raises its Attack.
Sweet Kiss;Fairy;Status;;75;10;Confuses opponent.
Sweet Scent;Normal;Status;;100;20;Lowers opponent's Evasiveness.
Synthesis;Grass;Status;;;5;User recovers HP. Amount varies with the weather.
Thief;Dark;Physical;60;100;25;Also steals opponent's held item.
Triple Kick;Fighting;Physical;10;90;10;Hits thrice in one turn at increasing power.
Twister;Dragon;Special;40;100;20;May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Vital Throw;Fighting;Physical;70;inf;10;User attacks last, but ignores Accuracy and Evasiveness.
Whirlpool;Water;Special;35;85;15;Traps opponent, damaging them for 4-5 turns.
Zap Cannon;Electric;Special;120;50;5;Paralyzes opponent.
