Name;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Type1;Type2;PokedexId
Treecko;310;40;45;35;65;55;70;Grass;;0252
Grovyle;405;50;65;45;85;65;95;Grass;;0253
Sceptile;530;70;85;65;105;85;120;Grass;;0254
Torchic;310;45;60;40;70;50;45;Fire;;0255
Combusken;405;60;85;60;85;60;55;Fire;Fighting;0256
Blaziken;530;80;120;70;110;70;80;Fire;Fighting;0257
Mudkip;310;50;70;50;50;50;40;Water;;0258
Marshtomp;405;70;85;70;60;70;50;Water;Ground;0259
Swampert;535;100;110;90;85;90;60;Water;Ground;0260
Poochyena;220;35;55;35;30;30;35;Dark;;0261
Mightyena;420;70;90;70;60;60;70;Dark;;0262
Zigzagoon;240;38;30;41;30;41;60;Normal;;0263
Linoone;420;78;70;61;50;61;100;Normal;;0264
Wurmple;195;45;45;35;20;30;20;Bug;;0265
Silcoon;205;50;35;55;25;25;15;Bug;;0266
Beautifly;395;60;70;50;100;50;65;Bug;Flying;0267
Cascoon;205;50;35;55;25;25;15;Bug;;0268
Dustox;385;60;50;70;50;90;65;Bug;Poison;0269
Lotad;220;40;30;30;40;50;30;Water;Grass;0270
Lombre;340;60;50;50;60;70;50;Water;Grass;0271
Ludicolo;480;80;70;70;90;100;70;Water;Grass;0272
Seedot;220;40;40;50;30;30;30;Grass;;0273
Nuzleaf;340;70;70;40;60;40;60;Grass;Dark;0274
Shiftry;480;90;100;60;90;60;80;Grass;Dark;0275
Taillow;270;40;55;30;30;30;85;Normal;Flying;0276
Swellow;455;60;85;60;75;50;125;Normal;Flying;0277
Wingull;270;40;30;30;55;30;85;Water;Flying;0278
Pelipper;440;60;50;100;95;70;65;Water;Flying;0279
Ralts;198;28;25;25;45;35;40;Psychic;Fairy;0280
Kirlia;278;38;35;35;65;55;50;Psychic;Fairy;0281
Gardevoir;518;68;65;65;125;115;80;Psychic;Fairy;0282
Surskit;269;40;30;32;50;52;65;Bug;Water;0283
Masquerain;454;70;60;62;100;82;80;Bug;Flying;0284
Shroomish;295;60;40;60;40;60;35;Grass;;0285
Breloom;460;60;130;80;60;60;70;Grass;Fighting;0286
Slakoth;280;60;60;60;35;35;30;Normal;;0287
Vigoroth;440;80;80;80;55;55;90;Normal;;0288
Slaking;670;150;160;100;95;65;100;Normal;;0289
Nincada;266;31;45;90;30;30;40;Bug;Ground;0290
Ninjask;456;61;90;45;50;50;160;Bug;Flying;0291
Shedinja;236;1;90;45;30;30;40;Bug;Ghost;0292
Whismur;240;64;51;23;51;23;28;Normal;;0293
Loudred;360;84;71;43;71;43;48;Normal;;0294
Exploud;490;104;91;63;91;73;68;Normal;;0295
Makuhita;237;72;60;30;20;30;25;Fighting;;0296
Hariyama;474;144;120;60;40;60;50;Fighting;;0297
Azurill;190;50;20;40;20;40;20;Normal;Fairy;0298
Nosepass;375;30;45;135;45;90;30;Rock;;0299
Skitty;260;50;45;45;35;35;50;Normal;;0300
Delcatty;400;70;65;65;55;55;90;Normal;;0301
Sableye;380;50;75;75;65;65;50;Dark;Ghost;0302
Mawile;380;50;85;85;55;55;50;Steel;Fairy;0303
Aron;330;50;70;100;40;40;30;Steel;Rock;0304
Lairon;430;60;90;140;50;50;40;Steel;Rock;0305
Aggron;530;70;110;180;60;60;50;Steel;Rock;0306
Meditite;280;30;40;55;40;55;60;Fighting;Psychic;0307
Medicham;410;60;60;75;60;75;80;Fighting;Psychic;0308
Electrike;295;40;45;40;65;40;65;Electric;;0309
Manectric;475;70;75;60;105;60;105;Electric;;0310
Plusle;405;60;50;40;85;75;95;Electric;;0311
Minun;405;60;40;50;75;85;95;Electric;;0312
Volbeat;430;65;73;75;47;85;85;Bug;;0313
Illumise;430;65;47;75;73;85;85;Bug;;0314
Roselia;400;50;60;45;100;80;65;Grass;Poison;0315
Gulpin;302;70;43;53;43;53;40;Poison;;0316
Swalot;467;100;73;83;73;83;55;Poison;;0317
Carvanha;305;45;90;20;65;20;65;Water;Dark;0318
Sharpedo;460;70;120;40;95;40;95;Water;Dark;0319
Wailmer;400;130;70;35;70;35;60;Water;;0320
Wailord;500;170;90;45;90;45;60;Water;;0321
Numel;305;60;60;40;65;45;35;Fire;Ground;0322
Camerupt;460;70;100;70;105;75;40;Fire;Ground;0323
Torkoal;470;70;85;140;85;70;20;Fire;;0324
Spoink;330;60;25;35;70;80;60;Psychic;;0325
Grumpig;470;80;45;65;90;110;80;Psychic;;0326
Spinda;360;60;60;60;60;60;60;Normal;;0327
Trapinch;290;45;100;45;45;45;10;Ground;;0328
Vibrava;340;50;70;50;50;50;70;Ground;Dragon;0329
Flygon;520;80;100;80;80;80;100;Ground;Dragon;0330
Cacnea;335;50;85;40;85;40;35;Grass;;0331
Cacturne;475;70;115;60;115;60;55;Grass;Dark;0332
Swablu;310;45;40;60;40;75;50;Normal;Flying;0333
Altaria;490;75;70;90;70;105;80;Dragon;Flying;0334
Zangoose;458;73;115;60;60;60;90;Normal;;0335
Seviper;458;73;100;60;100;60;65;Poison;;0336
Lunatone;460;90;55;65;95;85;70;Rock;Psychic;0337
Solrock;460;90;95;85;55;65;70;Rock;Psychic;0338
Barboach;288;50;48;43;46;41;60;Water;Ground;0339
Whiscash;468;110;78;73;76;71;60;Water;Ground;0340
Corphish;308;43;80;65;50;35;35;Water;;0341
Crawdaunt;468;63;120;85;90;55;55;Water;Dark;0342
Baltoy;300;40;40;55;40;70;55;Ground;Psychic;0343
Claydol;500;60;70;105;70;120;75;Ground;Psychic;0344
Lileep;355;66;41;77;61;87;23;Rock;Grass;0345
Cradily;495;86;81;97;81;107;43;Rock;Grass;0346
Anorith;355;45;95;50;40;50;75;Rock;Bug;0347
Armaldo;495;75;125;100;70;80;45;Rock;Bug;0348
Feebas;200;20;15;20;10;55;80;Water;;0349
Milotic;540;95;60;79;100;125;81;Water;;0350
Castform;420;70;70;70;70;70;70;Normal;;0351
Castform Sunny Form;420;70;70;70;70;70;70;Fire;;0351
Castform Rainy Form;420;70;70;70;70;70;70;Water;;0351
Castform Snowy Form;420;70;70;70;70;70;70;Ice;;0351
Kecleon;440;60;90;70;60;120;40;Normal;;0352
Shuppet;295;44;75;35;63;33;45;Ghost;;0353
Banette;455;64;115;65;83;63;65;Ghost;;0354
Duskull;295;20;40;90;30;90;25;Ghost;;0355
Dusclops;455;40;70;130;60;130;25;Ghost;;0356
Tropius;460;99;68;83;72;87;51;Grass;Flying;0357
Chimecho;455;75;50;80;95;90;65;Psychic;;0358
Absol;465;65;130;60;75;60;75;Dark;;0359
Wynaut;260;95;23;48;23;48;23;Psychic;;0360
Snorunt;300;50;50;50;50;50;50;Ice;;0361
Glalie;480;80;80;80;80;80;80;Ice;;0362
Spheal;290;70;40;50;55;50;25;Ice;Water;0363
Sealeo;410;90;60;70;75;70;45;Ice;Water;0364
Walrein;530;110;80;90;95;90;65;Ice;Water;0365
Clamperl;345;35;64;85;74;55;32;Water;;0366
Huntail;485;55;104;105;94;75;52;Water;;0367
Gorebyss;485;55;84;105;114;75;52;Water;;0368
Relicanth;485;100;90;130;45;65;55;Water;Rock;0369
Luvdisc;330;43;30;55;40;65;97;Water;;0370
Bagon;300;45;75;60;40;30;50;Dragon;;0371
Shelgon;420;65;95;100;60;50;50;Dragon;;0372
Salamence;600;95;135;80;110;80;100;Dragon;Flying;0373
Beldum;300;40;55;80;35;60;30;Steel;Psychic;0374
Metang;420;60;75;100;55;80;50;Steel;Psychic;0375
Metagross;600;80;135;130;95;90;70;Steel;Psychic;0376
Regirock;580;80;100;200;50;100;50;Rock;;0377
Regice;580;80;50;100;100;200;50;Ice;;0378
Registeel;580;80;75;150;75;150;50;Steel;;0379
Latias;600;80;80;90;110;130;110;Dragon;Psychic;0380
Latios;600;80;90;80;130;110;110;Dragon;Psychic;0381
Kyogre;670;100;100;90;150;140;90;Water;;0382
Groudon;670;100;150;140;100;90;90;Ground;;0383
Rayquaza;680;105;150;90;150;90;95;Dragon;Flying;0384
Jirachi;600;100;100;100;100;100;100;Steel;Psychic;0385
Deoxys Normal Forme;600;50;150;50;150;50;150;Psychic;;0386
Deoxys Attack Forme;600;50;180;20;180;20;150;Psychic;;0386
Deoxys Defense Forme;600;50;70;160;70;160;90;Psychic;;0386
Deoxys Speed Forme;600;50;95;90;95;90;180;Psychic;;0386
