Name;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Type1;Type2;PokedexId
Victini;600;100;100;100;100;100;100;Psychic;Fire;0494
Snivy;308;45;45;55;45;55;63;Grass;;0495
Servine;413;60;60;75;60;75;83;Grass;;0496
Serperior;528;75;75;95;75;95;113;Grass;;0497
Tepig;308;65;63;45;45;45;45;Fire;;0498
Pignite;418;90;93;55;70;55;55;Fire;Fighting;0499
Emboar;528;110;123;65;100;65;65;Fire;Fighting;0500
Oshawott;308;55;55;45;63;45;45;Water;;0501
Dewott;413;75;75;60;83;60;60;Water;;0502
Samurott;528;95;100;85;108;70;70;Water;;0503
Patrat;255;45;55;39;35;39;42;Normal;;0504
Watchog;420;60;85;69;60;69;77;Normal;;0505
Lillipup;275;45;60;45;25;45;55;Normal;;0506
Herdier;370;65;80;65;35;65;60;Normal;;0507
Stoutland;500;85;110;90;45;90;80;Normal;;0508
Purrloin;281;41;50;37;50;37;66;Dark;;0509
Liepard;446;64;88;50;88;50;106;Dark;;0510
Pansage;316;50;53;48;53;48;64;Grass;;0511
Simisage;498;75;98;63;98;63;101;Grass;;0512
Pansear;316;50;53;48;53;48;64;Fire;;0513
Simisear;498;75;98;63;98;63;101;Fire;;0514
Panpour;316;50;53;48;53;48;64;Water;;0515
Simipour;498;75;98;63;98;63;101;Water;;0516
Munna;292;76;25;45;67;55;24;Psychic;;0517
Musharna;487;116;55;85;107;95;29;Psychic;;0518
Pidove;264;50;55;50;36;30;43;Normal;Flying;0519
Tranquill;358;62;77;62;50;42;65;Normal;Flying;0520
Unfezant;488;80;115;80;65;55;93;Normal;Flying;0521
Blitzle;295;45;60;32;50;32;76;Electric;;0522
Zebstrika;497;75;100;63;80;63;116;Electric;;0523
Roggenrola;280;55;75;85;25;25;15;Rock;;0524
Boldore;390;70;105;105;50;40;20;Rock;;0525
Gigalith;515;85;135;130;60;80;25;Rock;;0526
Woobat;323;65;45;43;55;43;72;Psychic;Flying;0527
Swoobat;425;67;57;55;77;55;114;Psychic;Flying;0528
Drilbur;328;60;85;40;30;45;68;Ground;;0529
Excadrill;508;110;135;60;50;65;88;Ground;Steel;0530
Audino;445;103;60;86;60;86;50;Normal;;0531
Timburr;305;75;80;55;25;35;35;Fighting;;0532
