Name;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Type1;Type2;PokedexId
Bulbasaur;318;45;49;49;65;65;45;Grass;Poison;0001
Ivysaur;405;60;62;63;80;80;60;Grass;Poison;0002
Venusaur;525;80;82;83;100;100;80;Grass;Poison;0003
Charmander;309;39;52;43;60;50;65;Fire;;0004
Charmeleon;405;58;64;58;80;65;80;Fire;;0005
Charizard;534;78;84;78;109;85;100;Fire;Flying;0006
Squirtle;314;44;48;65;50;64;43;Water;;0007
Wartortle;405;59;63;80;65;80;58;Water;;0008
Blastoise;530;79;83;100;85;105;78;Water;;0009
Caterpie;195;45;30;35;20;20;45;Bug;;0010
Metapod;205;50;20;55;25;25;30;Bug;;0011
Butterfree;395;60;45;50;90;80;70;Bug;Flying;0012
Weedle;195;40;35;30;20;20;50;Bug;Poison;0013
Kakuna;205;45;25;50;25;25;35;Bug;Poison;0014
Beedrill;395;65;90;40;45;80;75;Bug;Poison;0015
Pidgey;251;40;45;40;35;35;56;Normal;Flying;0016
Pidgeotto;349;63;60;55;50;50;71;Normal;Flying;0017
Pidgeot;479;83;80;75;70;70;101;Normal;Flying;0018
Rattata;253;30;56;35;25;35;72;Normal;;0019
Raticate;413;55;81;60;50;70;97;Normal;;0020
Spearow;262;40;60;30;31;31;70;Normal;Flying;0021
Fearow;442;65;90;65;61;61;100;Normal;Flying;0022
Ekans;288;35;60;44;40;54;55;Poison;;0023
Arbok;448;60;95;69;65;79;80;Poison;;0024
Pikachu;320;35;55;40;50;50;90;Electric;;0025
Raichu;485;60;90;55;90;80;110;Electric;;0026
Sandshrew;300;50;75;85;20;30;40;Ground;;0027
Sandslash;450;75;100;110;45;55;65;Ground;;0028
Nidoran♀;275;55;47;52;40;40;41;Poison;;0029
Nidorina;365;70;62;67;55;55;56;Poison;;0030
Nidoqueen;505;90;92;87;75;85;76;Poison;Ground;0031
Nidoran♂;273;46;57;40;40;40;50;Poison;;0032
Nidorino;365;61;72;57;55;55;65;Poison;;0033
Nidoking;505;81;102;77;85;75;85;Poison;Ground;0034
Clefairy;323;70;45;48;60;65;35;Fairy;;0035
Clefable;483;95;70;73;95;90;60;Fairy;;0036
Vulpix;299;38;41;40;50;65;65;Fire;;0037
Ninetales;505;73;76;75;81;100;100;Fire;;0038
Jigglypuff;270;115;45;20;45;25;20;Normal;Fairy;0039
Wigglytuff;435;140;70;45;85;50;45;Normal;Fairy;0040
Zubat;245;40;45;35;30;40;55;Poison;Flying;0041
Golbat;455;75;80;70;65;75;90;Poison;Flying;0042
Oddish;320;45;50;55;75;65;30;Grass;Poison;0043
Gloom;395;60;65;70;85;75;40;Grass;Poison;0044
Vileplume;490;75;80;85;110;90;50;Grass;Poison;0045
Paras;285;35;70;55;45;55;25;Bug;Grass;0046
Parasect;405;60;95;80;60;80;30;Bug;Grass;0047
Venonat;305;60;55;50;40;55;45;Bug;Poison;0048
Venomoth;450;70;65;60;90;75;90;Bug;Poison;0049
Diglett;265;10;55;25;35;45;95;Ground;;0050
Dugtrio;425;35;100;50;50;70;120;Ground;;0051
Meowth;290;40;45;35;40;40;90;Normal;;0052
Persian;440;65;70;60;65;65;115;Normal;;0053
Psyduck;320;50;52;48;65;50;55;Water;;0054
Golduck;500;80;82;78;95;80;85;Water;;0055
Mankey;305;40;80;35;35;45;70;Fighting;;0056
Primeape;455;65;105;60;60;70;95;Fighting;;0057
Growlithe;350;55;70;45;70;50;60;Fire;;0058
Arcanine;555;90;110;80;100;80;95;Fire;;0059
Poliwag;300;40;50;40;40;40;90;Water;;0060
Poliwhirl;385;65;65;65;50;50;90;Water;;0061
Poliwrath;510;90;95;95;70;90;70;Water;Fighting;0062
Abra;310;25;20;15;105;55;90;Psychic;;0063
Kadabra;400;40;35;30;120;70;105;Psychic;;0064
Alakazam;500;55;50;45;135;95;120;Psychic;;0065
Machop;305;70;80;50;35;35;35;Fighting;;0066
Machoke;405;80;100;70;50;60;45;Fighting;;0067
Machamp;505;90;130;80;65;85;55;Fighting;;0068
Bellsprout;300;50;75;35;70;30;40;Grass;Poison;0069
Weepinbell;390;65;90;50;85;45;55;Grass;Poison;0070
Victreebel;490;80;105;65;100;70;70;Grass;Poison;0071
Tentacool;335;40;40;35;50;100;70;Water;Poison;0072
Tentacruel;515;80;70;65;80;120;100;Water;Poison;0073
Geodude;300;40;80;100;30;30;20;Rock;Ground;0074
Graveler;390;55;95;115;45;45;35;Rock;Ground;0075
Golem;495;80;120;130;55;65;45;Rock;Ground;0076
Ponyta;410;50;85;55;65;65;90;Fire;;0077
Rapidash;500;65;100;70;80;80;105;Fire;;0078
Slowpoke;315;90;65;65;40;40;15;Water;Psychic;0079
Slowbro;490;95;75;110;100;80;30;Water;Psychic;0080
Magnemite;325;25;35;70;95;55;45;Electric;Steel;0081
Magneton;465;50;60;95;120;70;70;Electric;Steel;0082
Farfetch'd;377;52;90;55;58;62;60;Normal;Flying;0083
Doduo;310;35;85;45;35;35;75;Normal;Flying;0084
Dodrio;470;60;110;70;60;60;110;Normal;Flying;0085
Seel;325;65;45;55;45;70;45;Water;;0086
Dewgong;475;90;70;80;70;95;70;Water;Ice;0087
Grimer;325;80;80;50;40;50;25;Poison;;0088
Muk;500;105;105;75;65;100;50;Poison;;0089
Shellder;305;30;65;100;45;25;40;Water;;0090
Cloyster;525;50;95;180;85;45;70;Water;Ice;0091
Gastly;310;30;35;30;100;35;80;Ghost;Poison;0092
Haunter;405;45;50;45;115;55;95;Ghost;Poison;0093
Gengar;500;60;65;60;130;75;110;Ghost;Poison;0094
Onix;385;35;45;160;30;45;70;Rock;Ground;0095
Drowzee;328;60;48;45;43;90;42;Psychic;;0096
Hypno;483;85;73;70;73;115;67;Psychic;;0097
Krabby;325;30;105;90;25;25;50;Water;;0098
Kingler;475;55;130;115;50;50;75;Water;;0099
Voltorb;330;40;30;50;55;55;100;Electric;;0100
Electrode;490;60;50;70;80;80;150;Electric;;0101
Exeggcute;325;60;40;80;60;45;40;Grass;Psychic;0102
Exeggutor;530;95;95;85;125;75;55;Grass;Psychic;0103
Cubone;320;50;50;95;40;50;35;Ground;;0104
Marowak;425;60;80;110;50;80;45;Ground;;0105
Hitmonlee;455;50;120;53;35;110;87;Fighting;;0106
Hitmonchan;455;50;105;79;35;110;76;Fighting;;0107
Lickitung;385;90;55;75;60;75;30;Normal;;0108
Koffing;340;40;65;95;60;45;35;Poison;;0109
Weezing;490;65;90;120;85;70;60;Poison;;0110
Rhyhorn;345;80;85;95;30;30;25;Ground;Rock;0111
Rhydon;485;105;130;120;45;45;40;Ground;Rock;0112
Chansey;450;250;5;5;35;105;50;Normal;;0113
Tangela;435;65;55;115;100;40;60;Grass;;0114
Kangaskhan;490;105;95;80;40;80;90;Normal;;0115
Horsea;295;30;40;70;70;25;60;Water;;0116
Seadra;440;55;65;95;95;45;85;Water;;0117
Goldeen;320;45;67;60;35;50;63;Water;;0118
Seaking;450;80;92;65;65;80;68;Water;;0119
Staryu;340;30;45;55;70;55;85;Water;;0120
Starmie;520;60;75;85;100;85;115;Water;Psychic;0121
Mr. Mime;460;40;45;65;100;120;90;Psychic;Fairy;0122
Scyther;500;70;110;80;55;80;105;Bug;Flying;0123
Jynx;455;65;50;35;115;95;95;Ice;Psychic;0124
Electabuzz;490;65;83;57;95;85;105;Electric;;0125
Magmar;495;65;95;57;100;85;93;Fire;;0126
Pinsir;500;65;125;100;55;70;85;Bug;;0127
Tauros;490;75;100;95;40;70;110;Normal;;0128
Magikarp;200;20;10;55;15;20;80;Water;;0129
Gyarados;540;95;125;79;60;100;81;Water;Flying;0130
Lapras;535;130;85;80;85;95;60;Water;Ice;0131
Ditto;288;48;48;48;48;48;48;Normal;;0132
Eevee;325;55;55;50;45;65;55;Normal;;0133
Vaporeon;525;130;65;60;110;95;65;Water;;0134
Jolteon;525;65;65;60;110;95;130;Electric;;0135
Flareon;525;65;130;60;95;110;65;Fire;;0136
Porygon;395;65;60;70;85;75;40;Normal;;0137
Omanyte;355;35;40;100;90;55;35;Rock;Water;0138
Omastar;495;70;60;125;115;70;55;Rock;Water;0139
Kabuto;355;30;80;90;55;45;55;Rock;Water;0140
Kabutops;495;60;115;105;65;70;80;Rock;Water;0141
Aerodactyl;515;80;105;65;60;75;130;Rock;Flying;0142
Snorlax;540;160;110;65;65;110;30;Normal;;0143
Articuno;580;90;85;100;95;125;85;Ice;Flying;0144
Zapdos;580;90;90;85;125;90;100;Electric;Flying;0145
Moltres;580;90;100;90;125;85;90;Fire;Flying;0146
Dratini;300;41;64;45;50;50;50;Dragon;;0147
Dragonair;420;61;84;65;70;70;70;Dragon;;0148
Dragonite;600;91;134;95;100;100;80;Dragon;Flying;0149
Mewtwo;680;106;110;90;154;90;130;Psychic;;0150
Mew;600;100;100;100;100;100;100;Psychic;;0151
