Name;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Type1;Type2;PokedexId
Venusaur Mega Venusaur;625;80;100;123;122;120;80;Grass;Poison;0003
Charizard Mega Charizard X;634;78;130;111;130;85;100;Fire;Dragon;0006
Charizard Mega Charizard Y;634;78;104;78;159;115;100;Fire;Flying;0006
Blastoise Mega Blastoise;630;79;103;120;135;115;78;Water;;0009
Beedrill Mega Beedrill;495;65;150;40;15;80;145;Bug;Poison;0015
Pidgeot Mega Pidgeot;579;83;80;80;135;80;121;Normal;Flying;0018
Alakazam Mega Alakazam;600;55;50;65;175;105;150;Psychic;;0065
Slowbro Mega Slowbro;590;95;75;180;130;80;30;Water;Psychic;0080
Gengar Mega Gengar;600;60;65;80;170;95;130;Ghost;Poison;0094
Kangaskhan Mega Kangaskhan;590;105;125;100;60;100;100;Normal;;0115
Pinsir Mega Pinsir;600;65;155;120;65;90;105;Bug;Flying;0127
Gyarados Mega Gyarados;640;95;155;109;70;130;81;Water;Dark;0130
Aerodactyl Mega Aerodactyl;615;80;135;85;70;95;150;Rock;Flying;0142
Mewtwo Mega Mewtwo X;780;106;190;100;154;100;130;Psychic;Fighting;0150
Mewtwo Mega Mewtwo Y;780;106;150;70;194;120;140;Psychic;;0150
Ampharos Mega Ampharos;610;90;95;105;165;110;45;Electric;Dragon;0181
Steelix Mega Steelix;610;75;125;230;55;95;30;Steel;Ground;0208
Scizor Mega Scizor;600;70;150;140;65;100;75;Bug;Steel;0212
Heracross Mega Heracross;600;80;185;115;40;105;75;Bug;Fighting;0214
Houndoom Mega Houndoom;600;75;90;90;140;90;115;Dark;Fire;0229
Tyranitar Mega Tyranitar;700;100;164;150;95;120;71;Rock;Dark;0248
Sceptile Mega Sceptile;630;70;110;75;145;85;145;Grass;Dragon;0254
Blaziken Mega Blaziken;630;80;160;80;130;80;100;Fire;Fighting;0257
Swampert Mega Swampert;635;100;150;110;95;110;70;Water;Ground;0260
Gardevoir Mega Gardevoir;618;68;85;65;165;135;100;Psychic;Fairy;0282
Sableye Mega Sableye;480;50;85;125;85;115;20;Dark;Ghost;0302
Mawile Mega Mawile;480;50;105;125;55;95;50;Steel;Fairy;0303
Aggron Mega Aggron;630;70;140;230;60;80;50;Steel;;0306
Medicham Mega Medicham;510;60;100;85;80;85;100;Fighting;Psychic;0308
Manectric Mega Manectric;575;70;75;80;135;80;135;Electric;;0310
Sharpedo Mega Sharpedo;560;70;140;70;110;65;105;Water;Dark;0319
Camerupt Mega Camerupt;560;70;120;100;145;105;20;Fire;Ground;0323
Altaria Mega Altaria;590;75;110;110;110;105;80;Dragon;Fairy;0334
Banette Mega Banette;555;64;165;75;93;83;75;Ghost;;0354
Absol Mega Absol;565;65;150;60;115;60;115;Dark;;0359
Glalie Mega Glalie;580;80;120;80;120;80;100;Ice;;0362
Salamence Mega Salamence;700;95;145;130;120;90;120;Dragon;Flying;0373
Metagross Mega Metagross;700;80;145;150;105;110;110;Steel;Psychic;0376
Latias Mega Latias;700;80;100;120;140;150;110;Dragon;Psychic;0380
Latios Mega Latios;700;80;130;100;160;120;110;Dragon;Psychic;0381
Kyogre Primal Kyogre;770;100;150;90;180;160;90;Water;;0382
Groudon Primal Groudon;770;100;180;160;150;90;90;Ground;Fire;0383
Rayquaza Mega Rayquaza;780;105;180;100;180;100;115;Dragon;Flying;0384
Lopunny Mega Lopunny;580;65;136;94;54;96;135;Normal;Fighting;0428
Garchomp Mega Garchomp;700;108;170;115;120;95;92;Dragon;Ground;0445
Lucario Mega Lucario;625;70;145;88;140;70;112;Fighting;Steel;0448
Abomasnow Mega Abomasnow;594;90;132;105;132;105;30;Grass;Ice;0460
Gallade Mega Gallade;618;68;165;95;65;115;110;Psychic;Fighting;0475
Audino Mega Audino;545;103;60;126;80;126;50;Normal;Fairy;0531
Chespin;313;56;61;65;48;45;38;Grass;;0650
Quilladin;405;61;78;95;56;58;57;Grass;;0651
Chesnaught;530;88;107;122;74;75;64;Grass;Fighting;0652
Fennekin;307;40;45;40;62;60;60;Fire;;0653
Braixen;409;59;59;58;90;70;73;Fire;;0654
Delphox;534;75;69;72;114;100;104;Fire;Psychic;0655
Froakie;314;41;56;40;62;44;71;Water;;0656
Frogadier;405;54;63;52;83;56;97;Water;;0657
Greninja;530;72;95;67;103;71;122;Water;Dark;0658
Bunnelby;237;38;36;38;32;36;57;Normal;;0659
Diggersby;423;85;56;77;50;77;78;Normal;Ground;0660
Fletchling;278;45;50;43;40;38;62;Normal;Flying;0661
Fletchinder;382;62;73;55;56;52;84;Fire;Flying;0662
Talonflame;499;78;81;71;74;69;126;Fire;Flying;0663
Scatterbug;200;38;35;40;27;25;35;Bug;;0664
Spewpa;213;45;22;60;27;30;29;Bug;;0665
Vivillon;411;80;52;50;90;50;89;Bug;Flying;0666
Litleo;369;62;50;58;73;54;72;Fire;Normal;0667
Pyroar;507;86;68;72;109;66;106;Fire;Normal;0668
Flabébé;303;44;38;39;61;79;42;Fairy;;0669
Floette;371;54;45;47;75;98;52;Fairy;;0670
