Name;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Type1;Type2;PokedexId
Rattata Alolan Rattata;253;30;56;35;25;35;72;Dark;Normal;0019
Raticate Alolan Raticate;413;75;71;70;40;80;77;Dark;Normal;0020
Pikachu Partner Pikachu;430;45;80;50;75;60;120;Electric;;0025
Raichu Alolan Raichu;485;60;85;50;95;85;110;Electric;Psychic;0026
Sandshrew Alolan Sandshrew;300;50;75;90;10;35;40;Ice;Steel;0027
Sandslash Alolan Sandslash;450;75;100;120;25;65;65;Ice;Steel;0028
Vulpix Alolan Vulpix;299;38;41;40;50;65;65;Ice;;0037
Ninetales Alolan Ninetales;505;73;67;75;81;100;109;Ice;Fairy;0038
Diglett Alolan Diglett;265;10;55;30;35;45;90;Ground;Steel;0050
Dugtrio Alolan Dugtrio;425;35;100;60;50;70;110;Ground;Steel;0051
Meowth Alolan Meowth;290;40;35;35;50;40;90;Dark;;0052
Persian Alolan Persian;440;65;60;60;75;65;115;Dark;;0053
Geodude Alolan Geodude;300;40;80;100;30;30;20;Rock;Electric;0074
Graveler Alolan Graveler;390;55;95;115;45;45;35;Rock;Electric;0075
Golem Alolan Golem;495;80;120;130;55;65;45;Rock;Electric;0076
Grimer Alolan Grimer;325;80;80;50;40;50;25;Poison;Dark;0088
Muk Alolan Muk;500;105;105;75;65;100;50;Poison;Dark;0089
Exeggutor Alolan Exeggutor;530;95;105;85;125;75;45;Grass;Dragon;0103
Marowak Alolan Marowak;425;60;80;110;50;80;45;Fire;Ghost;0105
Eevee Partner Eevee;435;65;75;70;65;85;75;Normal;;0133
Greninja Ash-Greninja;640;72;145;67;153;71;132;Water;Dark;0658
Zygarde 10% Forme;486;54;100;71;61;85;115;Dragon;Ground;0718
Zygarde Complete Forme;708;216;100;121;91;95;85;Dragon;Ground;0718
Rowlet;320;68;55;55;50;50;42;Grass;Flying;0722
Dartrix;420;78;75;75;70;70;52;Grass;Flying;0723
Decidueye;530;78;107;75;100;100;70;Grass;Ghost;0724
Litten;320;45;65;40;60;40;70;Fire;;0725
Torracat;420;65;85;50;80;50;90;Fire;;0726
Incineroar;530;95;115;90;80;90;60;Fire;Dark;0727
Popplio;320;50;54;54;66;56;40;Water;;0728
Brionne;420;60;69;69;91;81;50;Water;;0729
Primarina;530;80;74;74;126;116;60;Water;Fairy;0730
Pikipek;265;35;75;30;30;30;65;Normal;Flying;0731
Trumbeak;355;55;85;50;40;50;75;Normal;Flying;0732
Toucannon;485;80;120;75;75;75;60;Normal;Flying;0733
Yungoos;253;48;70;30;30;30;45;Normal;;0734
Gumshoos;418;88;110;60;55;60;45;Normal;;0735
Grubbin;300;47;62;45;55;45;46;Bug;;0736
Charjabug;400;57;82;95;55;75;36;Bug;Electric;0737
Vikavolt;500;77;70;90;145;75;43;Bug;Electric;0738
Crabrawler;338;47;82;57;42;47;63;Fighting;;0739
Crabominable;478;97;132;77;62;67;43;Fighting;Ice;0740
Oricorio Baile Style;476;75;70;70;98;70;93;Fire;Flying;0741
Oricorio Pom-Pom Style;476;75;70;70;98;70;93;Electric;Flying;0741
Oricorio Pa'u Style;476;75;70;70;98;70;93;Psychic;Flying;0741
Oricorio Sensu Style;476;75;70;70;98;70;93;Ghost;Flying;0741
Cutiefly;304;40;45;40;55;40;84;Bug;Fairy;0742
Ribombee;464;60;55;60;95;70;124;Bug;Fairy;0743
Rockruff;280;45;65;40;30;40;60;Rock;;0744
Rockruff Own Tempo Rockruff;280;45;65;40;30;40;60;Rock;;0744
Lycanroc Midday Form;487;75;115;65;55;65;112;Rock;;0745
Lycanroc Midnight Form;487;85;115;75;55;75;82;Rock;;0745
Lycanroc Dusk Form;487;75;117;65;55;65;110;Rock;;0745
Wishiwashi Solo Form;175;45;20;20;25;25;40;Water;;0746
Wishiwashi School Form;620;45;140;130;140;135;30;Water;;0746
